"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\README.md", "Markdown", 0, 7, 0, 5, 12
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\cogs\clss_commands\apprentice\apprentice.py", "Python", 349, 0, 1, 23, 373
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\cogs\clss_commands\apprentice\dark_mage\README.md", "Markdown", 0, 2, 0, 1, 3
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\cogs\clss_commands\apprentice\dark_mage\pacted\README.md", "Markdown", 0, 10, 0, 2, 12
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\cogs\clss_commands\apprentice\dark_mage\pacted\pacted.py", "Python", 235, 0, 6, 41, 282
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\cogs\clss_commands\apprentice\dark_mage\soulcatcher\README.md", "Markdown", 0, 2, 0, 1, 3
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\cogs\clss_commands\apprentice\dark_mage\toxinmancer\README.md", "Markdown", 0, 2, 0, 1, 3
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\cogs\clss_commands\apprentice\hydromancer\cryomancer\README.md", "Markdown", 0, 2, 0, 1, 3
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\cogs\clss_commands\apprentice\hydromancer\fogwalker\README.md", "Markdown", 0, 2, 0, 1, 3
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\cogs\clss_commands\apprentice\hydromancer\healer\healer.py", "Python", 49, 0, 1, 8, 58
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\cogs\clss_commands\apprentice\hydromancer\hydromancer.py", "Python", 115, 0, 1, 19, 135
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\cogs\clss_commands\apprentice\pyromancer\fire_lord\README.md", "Markdown", 0, 2, 0, 1, 3
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\cogs\clss_commands\apprentice\pyromancer\flame_tongue\README.md", "Markdown", 0, 2, 0, 1, 3
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\cogs\clss_commands\apprentice\pyromancer\flameborn\README.md", "Markdown", 0, 2, 0, 1, 3
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\cogs\clss_commands\apprentice\pyromancer\pyromancer.py", "Python", 197, 0, 11, 24, 232
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\cogs\clss_commands\apprentice\scholar\multi_mage\README.md", "Markdown", 0, 2, 0, 1, 3
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\cogs\clss_commands\apprentice\scholar\proficient_scholar\README.md", "Markdown", 0, 2, 0, 1, 3
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\cogs\clss_commands\apprentice\scholar\psychic\README.md", "Markdown", 0, 2, 0, 1, 3
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\cogs\clss_commands\apprentice\scholar\scholar.py", "Python", 103, 0, 1, 14, 118
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\cogs\clss_commands\apprentice\scholar\sorcerer\README.md", "Markdown", 0, 2, 0, 1, 3
"c:\Users\richa\Desktop\Code\Python\Discord Bots\chat-classes\cogs\clss_commands\apprentice\terramancer\dune_wizard\README.md", "Markdown", 0, 2, 0, 1, 3
